"Timestamp","Name (Optional)","Age","Gender","What devices do you have?","How frequently do you use this devices in studying?","What search engine do you use in making your activities or assignments?","How important is Internet Connection to you?","Do you have an academic award last school year?"
"2021/09/16 10:24:45 AM GMT+8","","18 and above","Female","Smartphone;Laptop","Occationally","Google Chrome","Moderately Important","No"
"2021/09/16 10:25:00 AM GMT+8","","14-17","Female","Smartphone;Laptop;Computer;Tablet","Always","Google Chrome","Very Important","Yes"
"2021/09/16 10:25:19 AM GMT+8","","14-17","Male","Smartphone","Rarely","Google Chrome","Of Little Important","No"
"2021/09/16 10:25:30 AM GMT+8","","18 and above","Male","Smartphone","Always","Google Chrome","Very Important","Yes"
"2021/09/16 10:25:45 AM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer;Tablet","Occationally","Google Chrome","Moderately Important","Yes"
"2021/09/16 10:28:38 AM GMT+8","","18 and above","Male","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/17 11:52:52 AM GMT+8","","18 and above","Female","Smartphone;Laptop;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/17 11:54:56 AM GMT+8","","18 and above","Male","Smartphone","Rarely","Google Chrome","Moderately Important","No"
"2021/09/17 11:56:01 AM GMT+8","","18 and above","Male","Smartphone;Computer","Very Frequently","Google Chrome","Very Important","Yes"
"2021/09/17 11:56:31 AM GMT+8","","14-17","Female","Smartphone","Always","Google Chrome","Very Important","Yes"
"2021/09/17 11:57:13 AM GMT+8","","18 and above","Male","Computer","Occationally","Blogs","Important","Yes"
"2021/09/17 11:57:55 AM GMT+8","","18 and above","Male","Tablet","Always","Google Chrome","Very Important","No"
"2021/09/17 11:58:16 AM GMT+8","","14-17","Female","Tablet","Always","Browser","Very Important","No"
"2021/09/18 10:48:07 PM GMT+8","","18 and above","Female","Smartphone","Always","Google Chrome","Very Important","Yes"
"2021/09/18 10:48:49 PM GMT+8","","14-17","Male","Smartphone;Laptop","Very Frequently","Google Chrome","Very Important","Yes"
"2021/09/18 10:49:38 PM GMT+8","","14-17","Female","Smartphone;Laptop;Computer","Always","Google Chrome","Very Important","Yes"
"2021/09/19 11:53:22 AM GMT+8","","14-17","Female","Smartphone;Laptop","Always","Google Chrome","Very Important","Yes"
"2021/09/19 11:53:36 AM GMT+8","","18 and above","Male","Smartphone;Laptop;Computer","Always","Google Chrome","Important","Yes"
"2021/09/19 11:53:52 AM GMT+8","","14-17","Male","Smartphone;Laptop;Computer","Occationally","Google Chrome","Moderately Important","No"
"2021/09/19 11:54:20 AM GMT+8","","18 and above","Female","Smartphone;Laptop","Rarely","Google Chrome","Of Little Important","No"
"2021/09/19 11:54:31 AM GMT+8","","18 and above","Female","Smartphone","Always","Google Chrome","Important","Yes"
